Frame,GT objects,reports,Tracks,Track_ID,Targets,Target_ID,Global Hyp
0,6,9,9,1,9,1,1
1,6,8,8,1,8,0,2
2,6,8,10,2,10,0,1
3,6,9,10,4,10,2,1
4,6,8,10,1,10,1,2
5,6,8,10,4,10,2,2
6,6,8,11,1,11,9,2
7,6,8,9,7,9,2,2
8,7,10,12,16,12,18,2
9,7,8,9,9,9,9,3
10,7,8,11,15,11,1,4
11,7,6,7,7,7,2,6
12,7,7,9,26,9,4,2
13,7,8,8,26,8,2,1
14,7,9,11,26,11,26,2
15,7,9,9,26,9,7,2
16,7,10,13,16,13,31,2
17,7,13,14,30,14,37,1
18,7,10,15,2,15,35,1
19,7,9,11,43,11,37,4
20,7,10,11,37,11,4,1
21,7,10,11,32,11,32,1
22,7,10,12,49,12,8,1
23,7,10,11,58,11,26,1
24,7,9,13,7,13,42,1
25,7,7,11,7,11,62,1
26,7,7,11,61,11,32,2
27,7,7,9,47,9,52,2
28,7,7,10,7,10,49,2
29,7,8,10,24,10,53,4
30,7,7,10,75,10,76,1
31,7,8,12,8,12,4,4
32,7,8,12,75,12,7,2
33,7,10,11,59,11,68,1
34,7,10,12,88,12,61,1
35,7,9,12,24,12,90,1
36,7,9,14,4,14,24,1
37,7,10,12,79,12,66,2
38,7,11,14,79,14,92,1
39,7,11,13,88,13,92,2
40,8,10,13,7,13,72,2
41,8,9,11,92,11,88,2
42,8,9,12,68,12,81,1
43,8,10,11,80,11,4,2
44,8,9,10,7,10,83,2
45,8,10,12,83,12,68,2
46,8,10,13,92,13,79,6
47,8,10,11,68,11,88,4
48,8,11,11,7,11,97,2
49,8,12,13,92,13,7,2
50,8,11,13,7,13,103,2
51,8,10,16,61,16,7,1
52,8,9,15,61,15,68,2
53,8,9,11,61,11,150,4
54,8,11,12,92,12,7,8
55,8,11,14,119,14,7,2
56,8,12,15,68,15,125,2
57,8,13,17,7,17,104,2
58,8,12,13,4,13,157,4
59,8,12,15,7,15,120,2
60,7,13,17,92,17,68,2
61,8,12,14,157,14,92,4
62,8,13,16,126,16,136,2
63,8,14,15,157,15,7,4
64,8,14,16,68,16,118,4
65,8,13,17,7,17,4,3
66,8,12,14,4,14,7,3
67,8,12,15,159,15,7,3
68,8,14,15,111,15,118,4
69,8,16,19,68,19,174,1
70,8,16,17,159,17,151,2
71,8,14,17,182,17,120,1
72,8,12,17,4,17,169,1
73,8,12,16,156,16,159,1
74,8,12,14,180,14,180,1
75,8,11,12,169,12,180,2
76,8,12,16,173,16,68,1
77,8,13,15,92,15,169,4
78,8,14,18,92,18,204,4
79,8,14,18,4,18,179,8
80,7,13,19,180,19,217,4
81,7,13,20,219,20,219,4
82,7,12,18,182,18,214,2
83,7,13,15,195,15,208,1
84,7,13,15,181,15,4,2
85,7,10,15,208,15,195,1
86,7,11,14,236,14,181,1
87,7,13,17,159,17,159,2
88,7,12,16,159,16,181,1
89,7,10,17,230,17,210,4
90,7,12,15,244,15,231,6
91,7,10,15,210,15,92,4
92,7,12,15,222,15,228,12
93,7,11,15,222,15,7,1
94,7,12,15,236,15,258,2
95,7,9,16,239,16,169,3
96,7,10,14,272,14,7,6
97,7,13,17,4,17,239,2
98,7,13,15,169,15,273,4
