Frame,GT objects,reports,Tracks,Track_ID,Targets,Target_ID,Global Hyp
0,6,4,4,0,4,0,1
1,6,4,4,0,4,0,1
2,6,4,4,0,4,0,1
3,6,4,4,0,4,0,1
4,6,3,4,0,4,0,1
5,6,4,4,0,4,0,1
6,6,4,4,0,4,0,1
7,6,4,4,0,4,0,1
8,7,4,4,0,4,0,1
9,7,5,5,0,5,9,1
10,7,5,5,0,5,0,1
11,7,5,5,9,5,0,1
12,7,5,5,0,5,9,1
13,7,5,5,0,5,9,2
14,7,5,5,0,5,0,3
15,7,5,5,9,5,9,4
16,7,5,5,0,5,0,1
17,7,5,5,0,5,0,1
18,7,5,5,9,5,0,2
19,7,5,5,0,5,0,2
20,7,5,5,9,5,9,3
21,7,5,5,0,5,0,1
22,7,5,6,0,6,0,1
23,7,5,5,0,5,0,1
24,7,6,7,0,7,0,1
25,7,6,6,29,6,29,2
26,7,6,6,9,6,0,1
27,7,5,6,29,6,29,1
28,7,6,6,0,6,0,2
29,7,5,6,0,6,29,1
30,7,5,6,0,6,0,1
31,7,5,6,9,6,0,1
32,7,5,5,0,5,9,1
33,7,5,5,9,5,0,1
34,7,4,5,0,5,29,1
35,7,4,5,0,5,29,1
36,7,4,5,0,5,0,1
37,7,4,4,0,4,29,2
38,7,4,4,0,4,29,3
39,7,4,5,0,5,0,1
40,8,4,5,9,5,0,1
41,8,4,5,49,5,0,2
42,8,4,4,0,4,0,1
43,8,4,4,0,4,29,1
44,8,4,4,0,4,29,1
45,8,4,4,0,4,0,1
46,8,4,4,50,4,50,1
47,8,4,5,0,5,0,1
48,8,4,4,0,4,0,1
49,8,4,4,0,4,0,1
50,8,4,4,56,4,0,1
51,8,4,4,56,4,0,1
52,8,4,5,55,5,55,1
53,8,4,4,0,4,0,1
54,8,4,5,55,5,0,1
55,8,5,5,0,5,29,1
56,8,5,6,66,6,66,1
57,8,5,5,59,5,0,2
58,8,5,5,63,5,67,2
59,8,5,5,29,5,0,1
60,7,6,6,63,6,69,2
61,8,6,6,0,6,0,1
62,8,6,6,29,6,29,1
63,8,6,6,29,6,69,2
64,8,6,6,63,6,29,2
65,8,6,6,69,6,0,1
66,8,6,7,77,7,77,2
67,8,6,6,63,6,29,3
68,8,6,7,77,7,29,4
69,8,6,6,29,6,29,8
70,8,6,6,69,6,63,2
71,8,6,6,29,6,83,1
72,8,6,7,63,7,0,1
73,8,6,6,0,6,69,1
74,8,6,7,0,7,69,1
75,8,6,6,69,6,29,1
76,8,6,7,29,7,0,1
77,8,6,6,0,6,0,2
78,8,6,6,69,6,69,2
79,8,6,6,86,6,63,1
80,7,7,7,29,7,0,2
81,7,7,7,0,7,91,3
82,7,6,7,91,7,29,2
83,7,6,6,104,6,0,2
84,7,6,6,0,6,0,2
85,7,6,6,0,6,0,3
86,7,6,6,0,6,29,1
87,7,6,6,69,6,0,2
88,7,6,6,0,6,69,3
89,7,6,6,105,6,69,2
90,7,6,6,63,6,69,3
91,7,6,6,63,6,69,1
92,7,5,7,69,7,29,2
93,7,5,7,0,7,0,1
94,7,5,6,0,6,112,2
95,7,6,7,29,7,123,2
96,7,5,6,112,6,0,1
97,7,6,7,123,7,63,1
98,7,5,5,29,5,63,1
